Ticker,Last,% Change,Open,High,Low
CBRG,4.12,35.97359735973599,3.38,4.26,3.24
NBIS,187.55,26.534880582917292,172.18,195.89,169.08
IREN,36.89,25.861480723302634,32.51,37.87,32.32
BE,204.84,25.093129770992366,186.25,215.74,184.88
SNDK,1259.62,23.991770762582554,1135.01,1272.53,1124.0
SOXL,113.68,23.578649853244933,107.38,118.0,105.12
CRWV,73.9,21.506083525156207,68.3,75.87,67.55
LRCX,296.75,17.5946106597979,318.29,319.5,294.25
MU,868.64,17.542625169147495,793.14,876.6,789.0
SKHY,148.93,17.461944948339774,136.51,149.5,134.5
ALAB,292.27,17.029710899335296,282.18,295.28,273.01
MSFT,455.8,16.710196138679773,437.9,458.69,432.44
AAOI,88.65,15.852064819655007,83.35,90.42,82.8
WOLF,23.21,15.702891326021945,21.17,24.0,21.01
ASTX,10.18,14.898419864559823,9.51,10.6,9.31
WDC,528.79,14.44680114275819,511.65,547.07,507.0
AMAT,496.78,13.822889219841903,482.48,508.54,476.12
AEHR,74.39,13.746177370030571,71.65,74.95,68.92
LITE,684.58,13.651531501618663,661.91,695.87,650.0
AMD,486.98,13.367166402830808,460.0,498.2,457.68
CMG,38.77,13.23014018691589,36.64,39.09,36.25
INTC,91.59,11.858817782120186,86.51,94.1,85.97
ENVX,4.11,11.684782608695656,3.81,4.12,3.78
MRVL,180.51,10.471236230110149,178.38,184.35,175.15
DELL,407.04,10.117952602532203,384.89,413.0,383.0
STX,838.81,9.730125714584723,878.91,901.18,831.0
RKLB,63.79,8.856655290102385,60.93,64.28,59.68
GLW,134.73,8.609431680773875,130.42,135.17,130.0
QUBT,7.89,8.082191780821917,7.61,7.91,7.53
SIDU,1.81,7.738095238095245,1.77,1.84,1.73
SMCI,27.68,7.704280155642025,26.84,28.17,26.65
ORCL,126.67,7.5845082384915985,122.87,128.34,121.58
ASTS,57.04,7.561757495757114,55.05,58.28,54.4
CLS,351.76,7.103492372803941,346.95,357.97,344.25
BKKT,7.32,6.8613138686131485,7.04,7.34,6.97
ARM,239.63,6.554315443105523,258.0,268.48,232.67
BLNK,0.5,6.382978723404261,0.48,0.5,0.48
FROG,77.08,5.185589519650651,74.02,77.76,73.4
SEDG,41.02,5.071721311475421,40.4,41.77,40.0
AMZN,237.75,4.89741892786234,233.35,239.49,231.06
NET,283.47,4.841334418226212,271.38,284.5,265.0
GS,1027.03,4.718837624267139,1007.36,1027.32,998.51
AVGO,386.06,4.250378051414995,380.35,388.29,377.54
SNOW,294.36,4.050901378579017,285.0,298.11,283.0
ENPH,36.47,3.992015968063868,35.76,37.36,35.24
BMY,65.32,3.518225039619638,62.69,65.56,62.23
EDIT,2.69,3.4615384615384563,2.6,2.7,2.6
MSTR,96.55,3.45012321868638,95.09,97.47,94.33
TSLA,308.31,3.348753016894613,302.7,309.12,301.33
CRCL,63.39,3.3083441981747086,61.48,63.88,61.0
PANW,323.79,3.068597803597022,316.03,325.12,313.05
CAT,806.65,3.0586040806939914,810.75,822.76,801.68
BA,220.13,2.859679454231113,214.94,220.79,213.0
CRWD,183.13,2.090534061768313,180.58,184.13,177.75
NVDA,193.58,1.8788484816588715,193.45,197.25,191.52
FSLR,202.58,1.6763702067857877,205.3,206.08,201.81
$SPX,7432.65,1.5923675703751292,7390.45,7432.74,7370.98
OMEX,0.65,1.5625000000000013,0.65,0.68,0.65
COIN,162.46,1.480417265288278,161.18,164.78,159.31
TIGR,4.86,1.4613778705636802,4.75,4.87,4.75
ULTA,514.6,1.2812690665039752,507.19,515.2,505.0
UPST,26.92,1.2030075187969935,26.52,26.93,25.89
URI,1065.13,0.9496640160741733,1070.94,1082.87,1052.32
BABA,115.96,0.8084847431104865,114.0,116.08,112.94
UNH,423.51,0.6990512875383403,415.19,427.34,411.29
MDB,323.27,0.6758019308626467,319.1,328.88,318.17
VCX,35.11,0.5441008018327541,35.15,36.96,35.0
RDDT,178.82,0.4663183324905804,180.0,181.3,175.0
APP,400.25,0.19776698543033608,393.02,406.38,390.05
PCG,17.72,0.056465273856566967,17.66,17.76,17.34
GME,21.85,0.045787545787552945,21.76,21.88,21.61
FDX,307.87,-0.23978484170960407,311.28,311.33,304.18
LULU,118.73,-0.25203730152062265,117.53,118.93,115.11
LMT,566.77,-0.4269149683766802,565.76,570.24,556.55
STI,6.03,-0.49504950495048455,6.07,6.5,5.81
SPCX,111.99,-0.497556641492672,115.14,118.93,111.35
SNPS,371.81,-0.5030907971848311,376.0,381.05,370.66
KO,88.55,-0.5949708127525832,87.63,88.58,87.21
GOOGL,334.47,-0.6652609070119546,334.2,336.51,330.34
PLTR,122.04,-0.7804878048780437,121.14,123.67,120.27
NFLX,72.94,-0.9371180225451551,71.48,73.19,70.55
TGT,144.52,-0.9458533241946507,144.1,145.29,143.07
CAR,153.36,-0.9622215046819378,152.34,159.49,146.0
FVRR,9.11,-1.0857763300760197,9.1,9.34,8.85
AAPL,333.81,-1.2951299565333083,333.1,334.48,329.59
DXCM,73.79,-1.7966462603140727,73.93,74.87,73.24
HD,332.19,-1.797380790492797,334.99,335.69,331.45
COST,953.9,-2.066671457757974,955.04,960.76,949.68
IBM,221.64,-2.119766825649184,222.0,224.86,220.2
XLP,85.49,-2.140567765567771,86.0,86.09,84.99
SE,105.83,-2.3438220909845953,105.53,106.61,103.78
PHM,129.13,-2.4034464515153857,132.51,133.21,127.4
HOOD,87.45,-2.660284951024043,90.91,92.57,86.21
WMT,111.1,-2.731570653125551,111.61,113.03,110.44
HCA,396.47,-2.868832377872502,402.65,406.76,394.74
KR,57.98,-3.1568398196091545,58.91,59.57,57.33
CHTR,140.34,-3.347107438016519,140.0,141.87,136.67
SIG,95.46,-3.439206959336441,98.64,99.12,95.04
LLY,1164.01,-3.8024164889836523,1174.03,1186.65,1155.49
TTD,18.36,-3.823991618648509,18.4,18.65,18.02
CRM,180.33,-4.273277417984915,180.99,182.51,175.9
NOW,109.8,-5.148583275742923,110.5,113.12,106.38
ACN,163.53,-5.566784085003169,166.73,166.73,159.96
ADBE,248.45,-5.686520138177132,251.5,255.3,242.42
ASAN,7.87,-7.52056404230317,8.14,8.27,7.65
CROX,122.36,-8.358298382264836,124.8,127.02,113.0
META,534.61,-8.708867676439953,526.0,538.94,524.49
CVNA,59.8,-9.831121833534375,58.95,60.66,56.12
