ticker,contract,type,strike,expiration,last,volume,openInterest,addedAt
MSTR,.MSTR260731C94,CALL,94.00,2026-07-31,4.25,682,10063,2026-07-29 12:51:09
MSTR,.MSTR260731C95,CALL,95.00,2026-07-31,3.70,1248,21848,2026-07-29 12:51:09
MSTR,.MSTR260731C96,CALL,96.00,2026-07-31,3.20,952,12028,2026-07-29 12:51:09
MSTR,.MSTR260731C96.5,CALL,96.50,2026-07-31,2.92,1125,15867,2026-07-29 12:51:09
MSTR,.MSTR260731C97.5,CALL,97.50,2026-07-31,2.70,1423,19171,2026-07-29 12:51:09
MSTR,.MSTR260731C100,CALL,100.00,2026-07-31,1.67,2351,18411,2026-07-29 12:51:09
MSTR,.MSTR260731C101,CALL,101.00,2026-07-31,1.38,719,10465,2026-07-29 12:51:09
MSTR,.MSTR260731C102,CALL,102.00,2026-07-31,1.15,1663,24865,2026-07-29 12:51:09
MSTR,.MSTR260731C103,CALL,103.00,2026-07-31,1.03,1649,20743,2026-07-29 12:51:09
MSTR,.MSTR260731C104,CALL,104.00,2026-07-31,0.80,1207,2424,2026-07-29 12:51:09
MSTR,.MSTR260731C105,CALL,105.00,2026-07-31,0.68,715,6300,2026-07-29 12:51:09
MSTR,.MSTR260731C110,CALL,110.00,2026-07-31,0.25,1085,4949,2026-07-29 12:51:09
MSTR,.MSTR260807C110,CALL,110.00,2026-08-07,1.18,700,3008,2026-07-29 12:51:09
MSTR,.MSTR260821C95,CALL,95.00,2026-08-21,8.17,44389,1574,2026-07-29 12:51:09
MSTR,.MSTR260821C125,CALL,125.00,2026-08-21,1.05,44556,50144,2026-07-29 12:51:09
MSTR,.MSTR260828C110,CALL,110.00,2026-08-28,4.00,1036,1063,2026-07-29 12:51:09
MSTR,.MSTR260731P80,PUT,80.00,2026-07-31,0.17,1110,5860,2026-07-29 12:51:09
MSTR,.MSTR260731P90,PUT,90.00,2026-07-31,1.26,1807,7673,2026-07-29 12:51:09
MSTR,.MSTR260731P93,PUT,93.00,2026-07-31,2.30,1443,1319,2026-07-29 12:51:09
MSTR,.MSTR260731P95,PUT,95.00,2026-07-31,3.13,549,4993,2026-07-29 12:51:09
MSTR,.MSTR260731P96,PUT,96.00,2026-07-31,3.55,748,3337,2026-07-29 12:51:09
MSTR,.MSTR260807P90,PUT,90.00,2026-08-07,2.85,610,2276,2026-07-29 12:51:09
MSTR,.MSTR260807P100,PUT,100.00,2026-08-07,7.65,1129,1704,2026-07-29 12:51:09
MSTR,.MSTR260821P70,PUT,70.00,2026-08-21,0.96,577,13736,2026-07-29 12:51:09
MSTR,.MSTR260821P75,PUT,75.00,2026-08-21,1.46,562,7964,2026-07-29 12:51:09
