Signal,Ticker,NetGainPct,VolFactor,Last,Open,High,Low,HHCount,MaxVolOp,OI,OptionVolume,VolOIRatio,OptionLast,PremiumEstimate,DaysToExpiry,Score,Grade,TradeReady,AddedAt,UpdatedAt
HH,CAR,3.185180249217033,7.561006131898385,154.85,150.07,156.3,143.5,100,.CAR260821C150,353,1641,4.648725212464589,9.9,1624590.0000000002,23,78.8,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,BE,-10.762942779291553,4.773614444175679,163.75,183.5,185.66,157.33,127,.BE260731P150,2942,3149,1.0703602991162475,4.45,1401305.0,2,89.3,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,SNOW,2.166847237269773,4.135563154781861,282.9,276.9,293.56,276.9,127,.SNOW260731C300,1366,2223,1.6273792093704247,2.18,484614.00000000006,2,69.0,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,CAT,-3.396566407069595,3.6955775996751568,782.71,810.23,822.8,776.0,118,.CAT260821P600,5594,6579,1.1760815159099034,1.81,1190799.0,23,81.0,B,YES,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,ENPH,-9.82257649781435,3.591750518066801,35.07,38.89,39.6,34.96,127,.ENPH260904P25,160,1845,11.53125,0.49,90405.0,37,93.7,A+,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,SOXL,-14.523322802453084,3.356583771673324,91.99,107.62,112.67,91.5,125,.SOXL260731P85,13974,7195,0.5148847860312008,4.7,3381650.0,2,88.9,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,ARM,-6.877846790890276,3.3201849327598953,224.89,241.5,243.25,222.56,122,.ARM260821P205,65,2891,44.47692307692308,13.9,4018490.0,23,95.8,A+,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,GS,-4.317073170731707,3.104561148288236,980.75,1025.0,1028.12,977.7,125,.GS260731P1025,1029,1063,1.033041788143829,47.5,5049250.0,2,79.4,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,LRCX,-4.597179690748931,3.1039307644816194,252.35,264.51,273.46,250.5,119,.LRCX260731P290,3337,2864,0.8582559184896613,38.15,10926160.0,2,83.9,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
HH,CVNA,1.9993848046754803,3.100607672175924,66.32,65.02,69.41,64.41,127,.CVNA260731C68,872,3456,3.963302752293578,3.02,1043712.0000000001,2,72.9,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,NBIS,-13.04194778527427,3.0389740164564683,148.22,170.45,172.0,145.8,127,.NBIS260731P150,7284,4940,0.6781987918725975,10.65,5261100.0,2,90.0,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,ADBE,5.376215048601943,2.8156436630955093,263.43,249.99,266.28,248.54,125,.ADBE260731C270,1087,3091,2.84360625574977,2.35,726385.0,2,95.0,A+,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,BA,-2.0549199084668235,2.7842142484064953,214.01,218.5,219.79,210.54,123,.BA260731P205,1632,2377,1.4564950980392157,0.38,90326.0,2,65.7,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,MDB,3.758037935825765,2.7770778322645544,321.1,309.47,332.86,309.01,121,.MDB260731C317.5,694,696,1.0028818443804035,12.0,835200.0,2,72.5,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,META,-1.287821323219551,2.7370144523864783,585.61,593.25,599.97,582.22,63,.META260731P550,5564,6925,1.244608195542775,10.6,7340500.0,2,62.9,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,ALAB,-4.0347371656932065,2.700228027170094,249.74,260.24,273.8,244.61,123,.ALAB260731P230,335,1074,3.2059701492537314,4.14,444635.99999999994,2,82.4,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,CRM,3.499807702873471,2.6444714665839384,188.38,182.01,190.18,182.01,127,.CRM260821C210,5629,3731,0.6628175519630485,2.37,884247.0000000001,23,73.1,B,YES,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,GLW,-1.7814726840855106,2.6142345669495146,124.05,126.3,130.87,122.62,104,.GLW260731P120,1359,2052,1.509933774834437,3.0,615600.0,2,62.1,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,UPST,-3.3781329458772236,2.5567415192400342,26.6,27.53,27.68,26.34,122,.UPST260731P27.5,615,2271,3.6926829268292685,1.51,342921.0,2,78.6,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,MSFT,-0.7269954245043103,2.5473525093933187,390.54,393.4,401.25,388.74,77,.MSFT260731P350,6973,11008,1.578660547827334,1.22,1342976.0,2,59.6,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,SNDK,-9.241242529012887,2.5121155805687083,1015.89,1119.33,1124.8,998.19,125,.SNDK260731P1000,4436,7193,1.6215058611361588,45.4,32656220.0,2,93.9,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,NET,2.1998790444511616,2.4930528864341377,270.38,264.56,279.92,262.95,95,.NET260731C277.5,81,712,8.790123456790123,3.52,250624.00000000003,2,65.6,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,AMAT,-5.819774718398003,2.438559352015418,436.45,463.42,475.0,436.33,119,.AMAT260731P395,1077,630,0.584958217270195,2.38,149940.0,2,76.9,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,CRWV,-8.774561271936406,2.36143019683189,60.82,66.67,66.89,60.55,127,.CRWV260731P60,4981,4137,0.830556113230275,2.29,947373.0,2,85.2,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,AVGO,-2.71122320302648,2.2925633295957706,370.32,380.64,386.12,369.51,100,.AVGO260731P365,1016,1256,1.236220472440945,5.8,728480.0,2,63.8,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,NOW,4.836080420213732,2.2829998776323164,115.76,110.42,118.36,109.5,123,.NOW260731C115,5693,11127,1.9545055331108379,3.3,3671910.0,2,93.6,A+,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,IREN,-13.996478873239438,2.28043872561517,29.31,34.08,34.24,28.93,125,.IREN260731P23,23318,12373,0.5306201217943219,0.13,160849.0,2,84.2,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,MU,-11.28451380552221,2.25641100026581,739.0,833.0,841.8,737.88,126,.MU260807P800,14476,14434,0.9970986460348162,86.5,124854100.0,9,87.5,A+,YES,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,LITE,-8.06764243524977,2.251613835493808,602.35,655.21,655.21,594.84,120,.LITE260821P600,651,1198,1.8402457757296466,67.2,8050560.000000001,23,86.2,A+,YES,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,AMZN,-1.1643118785975874,2.2141230018975726,226.65,229.32,232.82,226.16,72,.AMZN260731P205,3249,6561,2.0193905817174516,1.39,911978.9999999999,2,64.1,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,AAOI,-13.23279283365461,2.180299521984651,76.52,88.19,88.28,76.01,127,.AAOI260731P75,1322,619,0.4682299546142209,3.19,197461.0,2,74.3,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,SKHY,-2.431704501731422,2.132295035772224,126.79,129.95,137.19,124.8,102,.SKHY260731P130,2751,3774,1.3718647764449292,7.67,2894658.0,2,66.5,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,PANW,-1.6375477487632344,2.089301311481889,314.15,319.38,322.11,310.46,84,.PANW260807P265,56,611,10.910714285714286,0.64,39104.0,9,58.3,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
HH,WMT,0.8743265918926034,2.060572305455408,114.22,113.23,114.69,112.45,93,.WMT260731C115,3966,5511,1.3895612708018155,0.71,391281.0,2,56.2,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,NVDA,-2.9818738830737828,2.0539015898638286,190.01,195.85,197.07,190.01,113,.NVDA260731P190,26473,57054,2.155176972764704,3.23,18428442.0,2,77.5,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,KO,0.48505358150027367,2.0397841478770617,89.08,88.65,90.92,88.64,70,.KO260731C91,1528,5275,3.4522251308900525,0.2,105500.0,2,57.5,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,AMD,-5.107360607934966,2.0354796469665053,429.56,452.68,457.22,424.03,125,.AMD260731P430,8087,11157,1.3796216149375542,13.44,14995007.999999998,2,88.9,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
HH,TTD,2.249598286020343,1.9762708479837123,19.09,18.67,19.51,18.54,102,.TTD260731C20,2905,4516,1.5545611015490532,0.1,45160.0,2,66.9,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,BMY,-1.2055738218255772,1.9710604468745443,63.1,63.87,63.91,63.1,43,.BMY260731P62,1781,2704,1.5182481751824817,0.67,181168.0,2,54.6,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,WDC,-3.8218151540382923,1.9005322683848143,462.04,480.4,499.19,456.72,105,.WDC260821P450,716,2027,2.8310055865921786,43.8,8878260.0,23,77.3,B,YES,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,INTC,-5.417581148203763,1.8740784744988217,81.88,86.57,88.47,81.79,114,.INTC260821P72.5,2966,10920,3.681726230613621,3.05,3330600.0,23,92.5,A+,YES,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,MRVL,-6.1081422743205165,1.841394514090518,163.4,174.03,177.8,162.9,119,.MRVL260731P165,7041,3933,0.5585854282062207,7.25,2851425.0,2,79.3,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,AAPL,-0.45330115091396705,1.7823080438656649,338.19,339.73,344.57,337.35,57,.AAPL260731P330,7633,22239,2.913533342067339,3.0,6671700.0,2,55.5,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,COIN,-3.647306650616914,1.7764864143506827,160.09,166.15,169.69,158.68,107,.COIN260731P165,1412,821,0.5814447592067988,10.02,822642.0,2,62.0,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
