ticker,close,prevClose,open,high,low,volume,avgVolume,hhCount
RDDT,178.44,178.44,178.44,178.44,178.44,42377,4119684,0
MSTR,96.16,96.16,96.16,96.16,96.16,159544,18962304,0
QUBT,7.72,7.72,7.72,7.72,7.72,70753,9386859,0
CRM,181.50,181.50,181.50,181.50,181.50,71987,12686445,6
SNPS,383.82,383.82,383.82,383.82,383.82,4777,1915016,6
ADBE,249.18,249.18,249.18,249.18,249.18,52651,5563557,6
ORCL,119.96,119.96,119.96,119.96,119.96,194813,39741276,0
NOW,110.62,110.62,110.62,110.62,110.62,262154,23185753,6
TTD,18.91,18.91,18.91,18.91,18.91,24102,13880080,6
ACN,164.66,164.66,164.66,164.66,164.66,11528,8622186,6
CVNA,66.07,66.07,66.07,66.07,66.07,5283,8892602,6
SE,107.41,107.41,107.41,107.41,107.41,26944,5095380,6
ASTX,10.14,10.14,10.14,10.14,10.14,78593,5465077,0
APP,418.22,418.22,418.22,418.22,418.22,3975,5626141,0
CMG,33.51,33.51,33.51,33.51,33.51,3896,16517967,0
MDB,310.62,310.62,310.62,310.62,310.62,1474,1301624,0
PLTR,123.53,123.53,123.53,123.53,123.53,244039,37729524,6
CHTR,139.97,139.97,139.97,139.97,139.97,143,3075677,6
COIN,167.90,167.90,167.90,167.90,167.90,93093,6996877,0
LULU,120.32,120.32,120.32,120.32,120.32,3429,2630545,6
GOOGL,333.71,333.71,333.71,333.71,333.71,247141,29205911,6
UPST,27.82,27.82,27.82,27.82,27.82,2581,3549752,6
MSFT,393.35,393.35,393.35,393.35,393.35,200630,32095680,0
BABA,115.19,115.19,115.19,115.19,115.19,187673,12252099,0
ASTS,56.55,56.55,56.55,56.55,56.55,92271,16281944,0
CRCL,64.32,64.32,64.32,64.32,64.32,191594,14769061,0
BA,221.56,221.56,221.56,221.56,221.56,3530,5462043,6
RKLB,63.89,63.89,63.89,63.89,63.89,397011,20248511,0
AAPL,340.08,340.08,340.08,340.08,340.08,254541,50030581,0
META,593.41,593.41,593.41,593.41,593.41,61195,18834603,0
HD,344.47,344.47,344.47,344.47,344.47,540,3732097,6
COST,966.58,966.58,966.58,966.58,966.58,2244,2342747,0
GME,22.16,22.16,22.16,22.16,22.16,6076,3449129,6
IBM,227.55,227.55,227.55,227.55,227.55,85040,13970775,0
ENPH,36.32,36.32,36.32,36.32,36.32,18202,5099440,6
NFLX,72.39,72.39,72.39,72.39,72.39,131116,49809486,0
ULTA,501.52,501.52,501.52,501.52,501.52,72,576470,0
AMZN,230.86,230.86,230.86,230.86,230.86,158699,40176726,6
SIDU,1.78,1.78,1.78,1.78,1.78,30739,6523421,0
PANW,319.00,319.00,319.00,319.00,319.00,10169,6900914,0
LLY,1220.66,1220.66,1220.66,1220.66,1220.66,2847,2435309,0
$SPX,7428.78,7428.78,7428.78,7428.78,7428.78,3689705079,0,0
AVGO,380.91,380.91,380.91,380.91,380.91,80256,21269833,0
CRWD,181.80,181.80,181.80,181.80,181.80,23028,9035976,0
NET,264.10,264.10,264.10,264.10,264.10,3214,2935676,0
SEDG,40.07,40.07,40.07,40.07,40.07,7937,2341505,6
LMT,581.31,581.31,581.31,581.31,581.31,1434,1164655,6
CAR,166.32,166.32,166.32,166.32,166.32,540,544050,6
FSLR,202.59,202.59,202.59,202.59,202.59,861,1790171,0
FDX,312.64,312.64,312.64,312.64,312.64,52,1677705,0
CROX,135.94,135.94,135.94,135.94,135.94,17,931389,6
UNH,428.79,428.79,428.79,428.79,428.79,5174,5745468,6
SNOW,270.36,270.36,270.36,270.36,270.36,37647,4450494,6
ARM,244.74,244.74,244.74,244.74,244.74,88497,5774579,6
HOOD,92.76,92.76,92.76,92.76,92.76,88932,21949674,0
GS,1033.34,1033.34,1033.34,1033.34,1033.34,610,1977275,6
TSLA,307.44,307.44,307.44,307.44,307.44,389890,43208790,0
NBIS,169.69,169.69,169.69,169.69,169.69,436957,19540882,6
BE,166.84,166.84,166.84,166.84,166.84,761325,14475787,6
CRWV,67.30,67.30,67.30,67.30,67.30,283394,25578340,6
URI,1091.26,1091.26,1091.26,1091.26,1091.26,4,478600,6
WOLF,21.88,21.88,21.88,21.88,21.88,24236,3980839,6
INTC,86.30,86.30,86.30,86.30,86.30,2478268,114428496,0
CLS,350.20,350.20,350.20,350.20,350.20,14743,2276300,6
AEHR,70.00,70.00,70.00,70.00,70.00,23817,3307841,0
STI,6.12,6.12,6.12,6.12,6.12,803,183788,0
SPCX,116.41,116.41,116.41,116.41,116.41,613278,75308799,6
SMCI,28.45,28.45,28.45,28.45,28.45,211853,45199911,0
MRVL,174.47,174.47,174.47,174.47,174.47,506403,26125898,6
IREN,33.93,33.93,33.93,33.93,33.93,568511,43591627,6
DELL,392.10,392.10,392.10,392.10,392.10,45518,6830479,6
NVDA,197.01,197.01,197.01,197.01,197.01,817562,130136836,6
CAT,840.85,840.85,840.85,840.85,840.85,16478,2926121,6
MU,820.53,820.53,820.53,820.53,820.53,2035451,45008703,6
AAOI,88.14,88.14,88.14,88.14,88.14,160188,8528178,6
ALAB,260.23,260.23,260.23,260.23,260.23,21229,4533463,6
AMAT,476.46,476.46,476.46,476.46,476.46,78136,9353021,6
STX,747.30,747.30,747.30,747.30,747.30,94863,5034217,6
WDC,463.51,463.51,463.51,463.51,463.51,123424,7305052,6
LRCX,269.61,269.61,269.61,269.61,269.61,61808,11942007,6
LITE,651.93,651.93,651.93,651.93,651.93,41224,4177219,6
AMD,454.62,454.62,454.62,454.62,454.62,300567,27659880,6
SKHY,130.17,130.17,130.17,130.17,130.17,5326234,54795003,0
SOXL,109.54,109.54,109.54,109.54,109.54,11116158,65794533,6
SNDK,1096.10,1096.10,1096.10,1096.10,1096.10,913183,14600275,6
CBRG,3.95,3.95,3.95,3.95,3.95,78487,9812618,0
VCX,33.82,33.82,33.82,33.82,33.82,457,166880,6
PCG,17.78,17.78,17.78,17.78,17.78,23836411,17328398,0
HCA,418.19,418.19,418.19,418.19,418.19,169,1807122,6
FVRR,11.59,11.59,11.59,11.59,11.59,52790,568733,6
ASAN,8.19,8.19,8.19,8.19,8.19,5308,5556556,6
PHM,134.75,134.75,134.75,134.75,134.75,43,1826102,6
DXCM,74.85,74.85,74.85,74.85,74.85,513,4281368,0
WMT,113.10,113.10,113.10,113.10,113.10,25783,22012269,6
TGT,144.20,144.20,144.20,144.20,144.20,139,4023244,6
GLW,126.01,126.01,126.01,126.01,126.01,195114,14071762,6
ENVX,3.97,3.97,3.97,3.97,3.97,9878,6004679,6
BKKT,7.47,7.47,7.47,7.47,7.47,23908,966594,0
OMEX,0.67,0.67,0.67,0.67,0.67,217,511680,0
BLNK,0.52,0.52,0.52,0.52,0.52,586,1033867,6
FROG,76.43,76.43,76.43,76.43,76.43,155,2249225,6
EDIT,2.62,2.62,2.62,2.62,2.62,1,2096477,0
TIGR,4.80,4.80,4.80,4.80,4.80,874,1884990,0
KO,88.27,88.27,88.27,88.27,88.27,113197,17462731,0
SIG,98.04,98.04,98.04,98.04,98.04,1016598,732974,6
XLP,87.06,87.06,87.06,87.06,87.06,1364,11345590,0
KR,59.19,59.19,59.19,59.19,59.19,274,7762844,0
BMY,63.60,63.60,63.60,63.60,63.60,834,10484481,0
